Experiment,Year,Fold,MSE,R2,MAPE,Intercept,Coeff_INPBELI_PAST,dataset_size,Coeff_birth_year,Coeff_gender,Coeff_birth_municipality_encoded
Experiment 1: Only INPBELI_PAST,2017,mean,1040215668.8645861,-0.18030008850968415,2.1316957162652757,10.28760354172791,0.001807452967514403,492.0,,,
Experiment 1: Only INPBELI_PAST,2018,mean,927959855.1303924,-0.18326725418857476,1.9823058828210272,10.255852962808206,-0.014660773203576411,481.0,,,
Experiment 1: Only INPBELI_PAST,2019,mean,862088465.1214371,-0.1573097832256888,1.573878835050082,10.329746112056517,0.024998147730398584,487.0,,,
Experiment 1: Only INPBELI_PAST,2020,mean,937493995.7986746,-0.17078284507605113,2.208862133134068,10.302432575024948,-0.00563335610790187,490.0,,,
Experiment 1: Only INPBELI_PAST,2021,mean,1023072423.4573351,-0.18485309207078043,2.5617142025850304,10.210226211105532,0.003709516672877991,466.0,,,
Experiment 1: Only INPBELI_PAST,2022,mean,1026860345.5133495,-0.1898393057628598,3.4364027085106414,10.235687778446481,0.08585699348256338,482.0,,,
Experiment 2: INPBELI_PAST and birth_year,2017,mean,1036146761.8302019,-0.17566807967202788,2.0011335745747334,10.28760354172791,-0.0009532001734187338,492.0,-0.10017465664688745,,
Experiment 2: INPBELI_PAST and birth_year,2018,mean,926787938.3118366,-0.1817962033759417,1.9857201699767457,10.255852962808206,-0.014025711609237195,481.0,0.03216072047491146,,
Experiment 2: INPBELI_PAST and birth_year,2019,mean,862127279.7567427,-0.15734964918726052,1.5648305647163723,10.329746112056517,0.02355106188763247,487.0,-0.035104466219592255,,
Experiment 2: INPBELI_PAST and birth_year,2020,mean,935593834.4128387,-0.1683770312275385,2.1893077098859135,10.302432575024948,-0.007098060762239643,490.0,-0.05636177047125831,,
Experiment 2: INPBELI_PAST and birth_year,2021,mean,1022019048.4393553,-0.1835865251169449,2.571618683371683,10.210226211105532,0.004208706296771893,466.0,0.036918387738229176,,
Experiment 2: INPBELI_PAST and birth_year,2022,mean,1026056717.4772148,-0.18892062458189884,3.427316641927896,10.235687778446481,0.08625735457760762,482.0,-0.010615477914206603,,
Experiment 3: INPBELI_PAST and gender,2017,mean,1039417484.6676267,-0.17936897713085115,2.113750782454917,10.247031493564993,0.0003812341091728004,492.0,,0.08206076456537006,
Experiment 3: INPBELI_PAST and gender,2018,mean,924853559.979523,-0.1793388820568113,1.9773383643368934,10.315958959891148,-0.017046821473231465,481.0,,-0.12360318951596305,
Experiment 3: INPBELI_PAST and gender,2019,mean,857193029.61359,-0.1508265703393128,1.551578403382385,10.391327884365124,0.022517998561239583,487.0,,-0.12139434100572277,
Experiment 3: INPBELI_PAST and gender,2020,mean,937813031.3359064,-0.17119048304346252,2.2261091838361606,10.276297873296203,-0.006007382861973392,490.0,,0.05309642752966566,
Experiment 3: INPBELI_PAST and gender,2021,mean,1020527752.228659,-0.18187343742279194,2.5952317219135796,10.136398624006784,0.0024022781598239686,466.0,,0.15681699609464617,
Experiment 3: INPBELI_PAST and gender,2022,mean,1026014634.9689324,-0.18884814941874165,3.4140258420807847,10.247290840066508,0.08633498032357685,482.0,,-0.022040746547046436,
Experiment 4: INPBELI_PAST and birth_municipality,2017,mean,301623912.6968119,0.6574839491597633,0.38619724123841087,10.28760354172791,-0.012671248592231676,492.0,,,0.8700848111109394
Experiment 4: INPBELI_PAST and birth_municipality,2018,mean,290762647.165339,0.6284024815505032,0.4681322107413832,10.255852962808206,0.014632239320054034,481.0,,,0.8257644105815862
Experiment 4: INPBELI_PAST and birth_municipality,2019,mean,243399133.19510445,0.6731615640106039,0.3178944093151286,10.329746112056517,0.011688729411033839,487.0,,,0.7927805034756028
Experiment 4: INPBELI_PAST and birth_municipality,2020,mean,288549087.7194599,0.640481904490561,0.8309634249523947,10.302432575024946,-0.006591832305765393,490.0,,,0.7990350585266046
Experiment 4: INPBELI_PAST and birth_municipality,2021,mean,292168816.5651552,0.6613247080373661,0.45005193027446344,10.210226211105532,0.005936597591574876,466.0,,,0.8888013791492758
Experiment 4: INPBELI_PAST and birth_municipality,2022,mean,270735596.4074606,0.6862362930975815,0.6486612547271662,10.235687778446481,-4.9426052419493385e-05,482.0,,,0.9204815452511219
Experiment 5: All excluding INPBELI_PAST,2017,mean,304607418.85930014,0.654114076701824,0.3957973878634792,10.289900265717108,,492.0,-0.04950672182204326,-0.004613793723622472,0.8674120333696816
Experiment 5: All excluding INPBELI_PAST,2018,mean,289620735.2943056,0.6298118529232019,0.469462304178626,10.270893489729863,,481.0,0.013855292320096529,-0.030685484753797333,0.8232422304176217
Experiment 5: All excluding INPBELI_PAST,2019,mean,243069173.38487768,0.6736221337340719,0.32092911198166474,10.336806383227394,,487.0,0.004747223169743934,-0.014150959176420109,0.7933899201732679
Experiment 5: All excluding INPBELI_PAST,2020,mean,291300390.25354576,0.6370108666193699,0.8503778123648477,10.275171850528737,,490.0,0.015139761747432756,0.05530155731552795,0.8006677706245113
Experiment 5: All excluding INPBELI_PAST,2021,mean,291789472.5634355,0.661768173872727,0.4518172348016313,10.21234329097497,,466.0,0.0019534827221593374,-0.00421413446369745,0.8884701459574862
Experiment 5: All excluding INPBELI_PAST,2022,mean,274048078.17669463,0.6824346283734753,0.6482518361249994,10.259660610980784,,482.0,-0.023069051397147506,-0.04668072132016597,0.9207177620156296
Experiment 6: birth_year and gender,2017,mean,1036227809.2803938,-0.17577709720139612,1.9865750303276435,10.246321591707698,,492.0,-0.10029802415777164,0.08340428819780797,
Experiment 6: birth_year and gender,2018,mean,923736304.4523569,-0.17795122109372974,1.9843522886248575,10.316111838809448,,481.0,0.034340082318651245,-0.12397189957902341,
Experiment 6: birth_year and gender,2019,mean,858202878.1370599,-0.15216939432148419,1.558072391351513,10.391362792187945,,487.0,-0.035984536871437225,-0.12144339573121923,
Experiment 6: birth_year and gender,2020,mean,936415591.540662,-0.16940928083241436,2.2150026219017036,10.273367437506023,,490.0,-0.05755263031820925,0.05903310781964856,
Experiment 6: birth_year and gender,2021,mean,1019828780.4120884,-0.18099342877452504,2.6058790691359226,10.134618282572003,,466.0,0.0388003237799543,0.1606112559891987,
Experiment 6: birth_year and gender,2022,mean,1030946884.1519018,-0.19468304753164856,3.5301304996496397,10.24847555095628,,482.0,-0.012907985697898383,-0.02434693838762581,
Experiment 7: gender,2017,mean,1039958615.6395242,-0.18002979565971988,2.1150962904933595,10.247094906343595,,492.0,,0.08192113019971138,
Experiment 7: gender,2018,mean,924973473.8048649,-0.17950864754112872,1.9811569022903441,10.315062084445703,,481.0,,-0.12182039487359234,
Experiment 7: gender,2019,mean,857947306.4532187,-0.15183596988669062,1.5678877158596574,10.391708788117608,,487.0,,-0.12213482107000795,
Experiment 7: gender,2020,mean,938427760.3173656,-0.17195670478103095,2.2341644046517772,10.276113210127571,,490.0,,0.053494147982323825,
Experiment 7: gender,2021,mean,1021146774.7415962,-0.1825737507072142,2.595373847253176,10.135631393522562,,466.0,,0.15844708021298828,
Experiment 7: gender,2022,mean,1031897049.0398108,-0.19577053211754816,3.539432915875056,10.248225798322096,,482.0,,-0.023881860240170673,
Experiment 8: birth_year,2017,mean,1036636740.5168273,-0.17626391789346002,2.0022340592021326,10.28760354172791,,492.0,-0.10016814718394906,,
Experiment 8: birth_year,2018,mean,926797692.4610962,-0.18182265436742573,1.9888402447875735,10.255852962808206,,481.0,0.03250738323489187,,
Experiment 8: birth_year,2019,mean,862764778.0848503,-0.1582004227248635,1.5823558594044027,10.329746112056517,,487.0,-0.03644013063230929,,
Experiment 8: birth_year,2020,mean,936175652.4704545,-0.16910030676533774,2.1980032753161334,10.302432575024948,,490.0,-0.05619398024227027,,
Experiment 8: birth_year,2021,mean,1022515718.7890561,-0.18414228420731957,2.570888338252831,10.210226211105532,,466.0,0.03703362667146282,,
Experiment 8: birth_year,2022,mean,1031634032.2951139,-0.1954868546384599,3.552721206890598,10.235687778446481,,482.0,-0.012441487250315703,,
