Year,Fold,MSE,R2,MAPE,Intercept,Coeff_birth_year,Coeff_gender,Coeff_INPBELI_PAST,Coeff_birth_municipality_encoded,dataset_size
2017.00,1.00,2.35e8,0.72,0.45,-0.01,-0.04,-0.01,-0.04,0.84,nan
2017.00,2.00,2.85e8,0.68,0.49,0.01,-0.03,0.01,0.00,0.84,nan
2017.00,3.00,2.50e8,0.72,0.57,0.01,-0.06,-0.01,0.00,0.85,nan
2017.00,4.00,2.57e8,0.72,0.46,0.01,-0.06,-0.00,0.00,0.89,nan
2017.00,5.00,3.01e8,0.65,0.59,-0.00,-0.05,-0.01,-0.03,0.83,nan
2017.00,mean,2.66e8,0.70,0.51,0.00,-0.05,-0.00,-0.01,0.85,492.00
2018.00,1.00,2.59e8,0.66,0.84,-0.02,0.02,-0.04,0.03,0.82,nan
2018.00,2.00,2.23e8,0.73,0.59,0.05,0.04,-0.05,-0.01,0.86,nan
2018.00,3.00,2.63e8,0.67,0.82,0.06,0.01,-0.04,0.01,0.81,nan
2018.00,4.00,2.66e8,0.64,0.57,-0.03,0.03,-0.04,0.05,0.81,nan
2018.00,5.00,2.68e8,0.67,0.65,0.05,0.01,-0.08,0.03,0.81,nan
2018.00,mean,2.56e8,0.67,0.69,0.02,0.02,-0.05,0.02,0.82,481.00
2019.00,1.00,2.34e8,0.69,0.41,0.01,-0.00,0.00,-0.00,0.83,nan
2019.00,2.00,2.02e8,0.72,0.40,0.00,-0.01,-0.03,-0.00,0.84,nan
2019.00,3.00,2.25e8,0.70,0.39,0.01,0.01,-0.03,0.04,0.85,nan
2019.00,4.00,2.18e8,0.72,0.37,-0.02,0.00,0.04,0.00,0.89,nan
2019.00,5.00,2.10e8,0.71,0.35,0.01,0.05,-0.00,0.04,0.83,nan
2019.00,mean,2.18e8,0.71,0.38,0.00,0.01,-0.00,0.01,0.85,487.00
2020.00,1.00,2.78e8,0.66,1.24,-0.06,0.02,0.06,0.00,0.84,nan
2020.00,2.00,2.43e8,0.70,0.41,-0.02,0.01,0.06,0.00,0.85,nan
2020.00,3.00,2.77e8,0.67,1.19,0.00,0.02,0.04,-0.02,0.83,nan
2020.00,4.00,2.84e8,0.65,1.26,-0.01,0.01,0.02,-0.01,0.82,nan
2020.00,5.00,2.10e8,0.72,1.15,-0.01,0.00,0.01,0.00,0.83,nan
2020.00,mean,2.58e8,0.68,1.05,-0.02,0.01,0.04,-0.00,0.83,490.00
2021.00,1.00,2.47e8,0.71,0.82,0.03,-0.01,0.03,-0.04,0.84,nan
2021.00,2.00,2.38e8,0.73,1.00,0.01,0.03,-0.01,-0.01,0.86,nan
2021.00,3.00,2.88e8,0.67,1.10,-0.00,0.02,-0.02,-0.01,0.84,nan
2021.00,4.00,2.76e8,0.67,0.60,-0.02,0.02,0.02,0.00,0.83,nan
2021.00,5.00,2.54e8,0.71,1.02,-0.03,-0.00,0.01,-0.02,0.86,nan
2021.00,mean,2.61e8,0.70,0.91,-0.00,0.01,0.01,-0.01,0.85,466.00
2022.00,1.00,2.33e8,0.73,0.71,-0.04,-0.00,0.03,-0.00,0.85,nan
2022.00,2.00,2.39e8,0.71,0.87,-0.00,-0.02,-0.05,0.02,0.85,nan
2022.00,3.00,2.25e8,0.74,0.83,0.05,-0.00,-0.03,-0.00,0.84,nan
2022.00,4.00,2.44e8,0.72,0.98,0.01,-0.05,-0.03,-0.00,0.86,nan
2022.00,5.00,2.53e8,0.72,0.84,0.03,-0.04,-0.02,-0.03,0.87,nan
2022.00,mean,2.39e8,0.72,0.85,0.01,-0.02,-0.02,-0.00,0.85,482.00
